Alcohol,,,,,ALE,,EPI
True Negative,33.00,,,,,,
True Positive,0.00,,,,0.16,,0.0022
False Positive,0.00,,,,0.18,,0.0045
False Negative,5.00,,,,0.19,,0.0059
Accuracy,0.87,,,,0.19,,0.0054
,,,,,0.18,,0.0043
,,,,,0.18,,0.0046
Benzene substitute derivatives,,,,,0.15,,0.0037
True Negative,558.00,,,,0.15,,0.0028
True Positive,100.00,,,,0.24,,0.0040
False Positive,50.00,,,,0.18,,0.0032
False Negative,121.00,,,,0.19,,0.0070
Accuracy,0.79,,,,0.19,,0.0062
MCC,0.43,,,,0.17,,0.0037
Specificity,0.92,,,,0.19,,0.0063
Precision,0.67,,,,,,
Recall,0.45,,,,,,
Fmeasure,0.67,,,,,,
,,,,,,,
,,,,,,,
Benzoic acids,,,,,,,
True Negative,110.00,,,,,,
True Positive,22.00,,,,,,
False Positive,4.00,,,,,,
False Negative,21.00,,,,,,
Accuracy,0.84,,,,,,
MCC,0.57,,,,,,
Specificity,0.96,,,,,,
Precision,0.85,,,,,,
Recall,0.51,,,,,,
Fmeasure,0.85,,,,,,
Biphenyls and derivatives,,,,,,,
True Negative,45.00,,,,,,
True Positive,12.00,,,,,,
False Positive,1.00,,,,,,
False Negative,25.00,,,,,,
Accuracy,0.69,,,,,,
MCC,0.41,,,,,,
Specificity,0.98,,,,,,
Precision,0.92,,,,,,
Recall,0.32,,,,,,
Fmeasure,0.92,,,,,,
,,,,,,,
carboxylic acids and derivatives,,,,,,,
True Negative,310.00,,,,,,
True Positive,15.00,,,,,,
False Positive,15.00,,,,,,
False Negative,51.00,,,,,,
Accuracy,0.83,,,,,,
MCC,0.25,,,,,,
Specificity,0.95,,,,,,
Precision,0.50,,,,,,
Recall,0.23,,,,,,
Fmeasure,0.50,,,,,,
,,,,,,,
ethers,,,,,,,
True Negative,164.00,,,,,,
True Positive,10.00,,,,,,
False Positive,16.00,,,,,,
False Negative,45.00,,,,,,
Accuracy,0.74,,,,,,
MCC,0.13,,,,,,
Specificity,0.91,,,,,,
Precision,0.38,,,,,,
Recall,0.18,,,,,,
Fmeasure,0.38,,,,,,
,,,,,,,
hydrocarbons,,,,,,,
True Negative,25.00,,,,,,
True Positive,2.00,,,,,,
False Positive,0.00,,,,,,
False Negative,0.00,,,,,,
Accuracy,1.00,,,,,,
MCC,1.00,,,,,,
Specificity,1.00,,,,,,
Precision,1.00,,,,,,
Recall,1.00,,,,,,
Fmeasure,1.00,,,,,,
,,,,,,,
Lipids and lipid-like molecules,,,,,,,
True Negative,162.00,,,,,,
True Positive,1.00,,,,,,
False Positive,1.00,,,,,,
False Negative,25.00,,,,,,
Accuracy,0.86,,,,,,
MCC,0.11,,,,,,
Specificity,0.99,,,,,,
Precision,0.50,,,,,,
Recall,0.04,,,,,,
Fmeasure,0.50,,,,,,
,,,,,,,
Organic thiosophic,,,,,,,
True Negative,3.00,,,,,,
True Positive,0.00,,,,,,
False Positive,0.00,,,,,,
False Negative,1.00,,,,,,
Accuracy,0.75,,,,,,
,,,,,,,
Organohalogen compounds,,,,,,,
True Negative,56.00,,,,,,
True Positive,4.00,,,,,,
False Positive,7.00,,,,,,
False Negative,28.00,,,,,,
Accuracy,0.63,,,,,,
MCC,0.02,,,,,,
Specificity,0.89,,,,,,
Precision,0.36,,,,,,
Recall,0.13,,,,,,
Fmeasure,0.36,,,,,,
,,,,,,,
,,,,,,,
organheterocyclic,,,,,,,
True Negative,587.00,,,,,,
True Positive,234.00,,,,,,
False Positive,75.00,,,,,,
False Negative,217.00,,,,,,
Accuracy,0.74,,,,,,
MCC,0.44,,,,,,
Specificity,0.89,,,,,,
Precision,0.76,,,,,,
Recall,0.52,,,,,,
Fmeasure,0.76,,,,,,
,,,,,,,
organoitrogen,,,,,,,
True Negative,114.00,,,,,,
True Positive,24.00,,,,,,
False Positive,9.00,,,,,,
False Negative,38.00,,,,,,
Accuracy,0.75,,,,,,
MCC,0.39,,,,,,
Specificity,0.93,,,,,,
Precision,0.73,,,,,,
Recall,0.39,,,,,,
Fmeasure,0.73,,,,,,
,,,,,,,
,,,,,,,
phenols,,,,,,,
True Negative,30.00,,,,,,
True Positive,5.00,,,,,,
False Positive,6.00,,,,,,
False Negative,10.00,,,,,,
Accuracy,0.69,,,,,,
MCC,0.18,,,,,,
Specificity,0.83,,,,,,
Precision,0.45,,,,,,
Recall,0.33,,,,,,
Fmeasure,0.45,,,,,,
,,,,,,,
,,,,,,,
Phenylpropanoids and polyketides,,,,,,,
True Negative,103.00,,,,,,
True Positive,18.00,,,,,,
False Positive,10.00,,,,,,
False Negative,21.00,,,,,,
Accuracy,0.80,,,,,,
MCC,0.42,,,,,,
Specificity,0.91,,,,,,
Precision,0.64,,,,,,
Recall,0.46,,,,,,
Fmeasure,0.64,,,,,,
